state,lat_min,lat_max,lng_min,lng_max,pop_sum,male_pop_sum,female_pop_sum,rent_mean_mean,rent_mean_median,rent_median_mean,rent_median_median,rent_stdev_mean,rent_gt_10_mean,rent_gt_10_median,rent_gt_20_mean,rent_gt_20_median,rent_gt_30_mean,rent_gt_30_median,rent_gt_40_mean,rent_gt_40_median,rent_gt_50_mean,rent_gt_50_median,hi_mean_mean,hi_mean_median,hi_median_mean,hi_median_median,hi_stdev_mean,family_mean_mean,family_mean_median,family_median_mean,family_median_median,family_stdev_mean,hc_mortgage_mean_mean,hc_mortgage_mean_median,hc_mortgage_median_mean,hc_mortgage_median_median,hc_mortgage_stdev_mean,hc_mean_mean,hc_mean_median,hc_median_mean,hc_median_median,hc_stdev_mean,home_equity_second_mortgage_mean,home_equity_second_mortgage_median,second_mortgage_mean,second_mortgage_median,home_equity_mean,home_equity_median,debt_mean,debt_median,second_mortgage_cdf_mean,second_mortgage_cdf_median,home_equity_cdf_mean,home_equity_cdf_median,debt_cdf_mean,debt_cdf_median,hs_degree_mean,hs_degree_median,hs_degree_male_mean,hs_degree_male_median,hs_degree_female_mean,hs_degree_female_median,male_age_mean_mean,male_age_mean_median,male_age_median_mean,male_age_median_median,male_age_stdev_mean,female_age_mean_mean,female_age_mean_median,female_age_median_mean,female_age_median_median,female_age_stdev_mean,married_mean,married_median,separated_mean,separated_median,divorced_mean,divorced_median,physically_active,obesity_percentage,totalScore,n_restaurants
Alabama,30.2375544,34.9652858,-88.37319690000001,-84.980785,2516214,1226877,1289337,764.9508748275852,716.78323,729.7668308702791,687.0,289.33550949096923,0.95151459770115,0.9708,0.7214906075533657,0.73302,0.5049935796387518,0.50545,0.352422594417077,0.34906,0.2612042692939246,0.25172,55919.91344420361,51950.2313,43407.78653530378,39286.0,47639.696197274214,65274.35113610841,60875.7445,54768.881773399014,50547.0,46205.2894800328,1193.630170329489,1116.49102,1096.835255354201,1029.0,510.6997545963753,384.3658073146628,364.41861,355.4909390444811,338.0,174.24526014827043,0.020346342668863263,0.01515,0.023246342668863256,0.017480000000000002,0.07065942339373969,0.0624,0.546932026359143,0.53995,0.5072079901153209,0.46968000000000004,0.5896211861614491,0.61715,0.6523635584843499,0.71613,0.8275881967213109,0.821815,0.8166867049180324,0.81591,0.8380328571428568,0.83878,38.40421586885244,38.79575,37.990710540983564,38.708335000000005,21.9347005737705,40.82417498360655,41.13315,40.878551967213156,41.5,22.667432459016386,0.5044552131147546,0.53406,0.023249114754098396,0.016905,0.11990309836065578,0.11810999999999999,0.161,0.36200000000000004,39.35,3723
Alaska,53.621091299999996,67.07401750000001,-166.7709793,-131.10668470000002,469126,246520,222606,1190.0935901904759,1152.5009599999998,1143.047619047619,1075.0,472.3491388571431,0.9356149523809524,0.95972,0.6748445714285712,0.6765100000000001,0.4209609523809522,0.41658,0.2648133333333334,0.2574,0.18199952380952378,0.16564,83541.3340705714,82377.92526,69925.11428571428,69027.0,61038.9813437143,91911.13751809527,90707.89388999999,81676.62857142858,80311.0,55992.15130304764,1797.7451099029126,1769.7401399999999,1734.5728155339805,1729.0,662.1337119417476,577.0778738461539,579.9549999999999,557.3461538461538,568.0,253.14164999999997,0.015407115384615384,0.010384999999999998,0.01809855769230769,0.014249999999999999,0.05342413461538463,0.045235,0.5972788461538462,0.645545,0.5711314423076923,0.5006600000000001,0.6655613461538462,0.69693,0.5272067307692307,0.49822,0.9169644761904757,0.92909,0.9168786666666671,0.92295,0.9173371428571427,0.9334399999999999,36.50962942857143,36.51652,35.919047523809525,35.66667,20.26612666666666,36.868152190476174,36.76109,36.428570857142844,35.83333,21.08205466666666,0.4834020952380951,0.49453,0.018309904761904763,0.01425,0.1149239047619048,0.11535,0.242,0.295,38.21,393
Arizona,31.338944800000004,36.916588,-114.7770437,-109.1416554,3491125,1737284,1753841,1085.9953255739797,1019.846135,1037.7079081632653,958.5,371.11917113520434,0.9599912244897963,0.9875100000000001,0.7272846045918361,0.7535449999999999,0.4820341964285722,0.49407999999999996,0.3283175892857144,0.32498,0.23502475765306122,0.22976,66474.48784057172,59650.27706,54574.885641677254,48566.0,50533.19817416777,72967.17900397703,67370.33284,63412.41296060991,57469.0,47183.87431756042,1408.4946114890904,1295.68148,1327.4069319640564,1202.0,552.0171919640569,428.7578223809528,405.43736,403.5328185328185,382.0,180.66599823680824,0.02379989769820973,0.016175000000000002,0.027283746803069074,0.019165,0.09216226342711004,0.084505,0.6444337979539639,0.68079,0.49942349104859385,0.452615,0.5116517774936062,0.5127200000000001,0.45373823529411783,0.414325,0.8508043813131302,0.8939600000000001,0.8496520833333332,0.89618,0.8532163888888892,0.895195,39.01052383838386,37.018395,38.71296292929298,35.83333,20.854198522727298,40.2700183207071,38.38322,40.27083332070708,37.08333,21.167293320707074,0.5080460479797977,0.51729,0.015576174242424237,0.010585,0.1086496338383838,0.10186500000000001,0.221,0.295,52.92,4319
Arkansas,33.0740956,36.4749612,-94.5546039,-89.8690399,1540462,758011,782451,715.2278328412254,678.61238,678.3676880222841,653.0,273.6942749303623,0.9516333983286903,0.9727299999999999,0.7070839554317552,0.72832,0.47354738161559873,0.47465,0.32009994428969346,0.31858000000000003,0.2302972701949862,0.21704,55027.72098060779,51078.93678,42491.599447513814,38501.0,46826.42807632596,64477.54943922652,59827.047645,53905.0138121547,48628.5,45400.14407345302,1108.3274660674163,1048.466845,1003.6797752808989,941.0,490.89425452247184,365.2701886464088,351.29891,338.18508287292815,328.0,161.76056881215465,0.015136712707182334,0.010709999999999999,0.01619320441988951,0.012545,0.03901287292817678,0.031045000000000003,0.5392892541436463,0.5350950000000001,0.5864872375690607,0.51612,0.72445138121547,0.759735,0.6562824861878453,0.724405,0.8350632044198892,0.84198,0.8245567955801107,0.83655,0.846634254143646,0.8480000000000001,38.455830027624344,38.555465,37.9251840883978,37.958335000000005,22.025251712707195,40.54316013812155,40.8317,40.584023812154705,40.791664999999995,22.79783425414366,0.5342827624309392,0.561685,0.021217209944751368,0.015290000000000002,0.12529999999999997,0.12195,0.165,0.371,36.61,2053
California,32.5473763,41.858327,-124.23965049999998,-114.58389629999999,20197555,10081248,10116307,1468.4531834039958,1374.96274,1417.4367622259697,1329.0,534.2878730763666,0.9708856323777405,0.9855200000000001,0.7994395157793301,0.8168300000000001,0.5623623825584187,0.5716100000000001,0.3941002312695732,0.39516999999999997,0.2906245772103115,0.28701,82014.30908191158,76052.058665,68000.14443909485,61447.0,61482.40834404175,87604.86015224394,81466.36114,77814.16421863713,69094.0,55433.28555580062,2212.048594669593,2158.30528,2164.3991709339184,2072.0,804.863591799561,557.0119257658321,513.734605,521.7120765832107,475.0,247.01414503681954,0.03529965324927248,0.02839,0.04275321774975747,0.035960000000000006,0.13157875363724533,0.127745,0.7203366391852568,0.736695,0.37603979146459615,0.297635,0.36862467992240516,0.32343,0.3306051673132883,0.28291,0.8103517985611505,0.861785,0.8092609594627013,0.8619700000000001,0.8123758093179615,0.8641000000000001,37.374153140733554,36.904070000000004,36.60459125389603,35.58333,20.960214190841523,39.152202286468324,38.7997,38.60610604366601,37.66667,21.670468637236098,0.49687307600096037,0.50016,0.019572867417885456,0.01547,0.08186028290577779,0.07629,0.239,0.258,63.14,27510
Colorado,37.073513299999995,40.8777039,-108.7231294,-102.21131190000001,2799395,1411330,1388065,1197.9804833890578,1152.3942299999999,1140.6109422492402,1080.5,434.8090088449847,0.9611929179331307,0.98212,0.7437379787234053,0.763985,0.4860745288753801,0.499715,0.322705623100304,0.31911500000000004,0.23201724924012163,0.221775,79159.77083383333,74107.961245,66494.2393939394,61005.5,57640.754390560556,87957.08396018177,83661.79303999999,78400.7787878788,72724.0,53271.03022528783,1657.1556033230293,1584.67485,1582.9536321483772,1512.0,618.2365794744985,468.6055644135798,440.681265,440.35648148148147,412.0,187.41261006172843,0.04942615384615385,0.04395,0.05503973846153855,0.050855,0.12949276923076922,0.128225,0.7159263538461547,0.734395,0.2861817692307693,0.20061,0.36629830769230803,0.32161,0.34011604615384616,0.288095,0.908320090361445,0.940465,0.9030431626506025,0.93492,0.9135985476550665,0.9437700000000001,37.52814918674699,37.576755000000006,37.28300700301207,36.66667,20.866779954819286,39.095636208459226,39.385895,39.01875605740178,38.66667,21.54892935045315,0.528154442771084,0.5386200000000001,0.013381310240963841,0.00852,0.10530257530120479,0.100585,0.26,0.23,55.38,3650
Connecticut,40.9833239,42.0227059,-73.6820227,-71.8383475,1914899,924516,990383,1314.159087968397,1210.17205,1268.5011286681715,1156.0,511.66732796839733,0.9616160270880363,0.98034,0.7504820090293456,0.7791,0.50591559819413,0.5176,0.350261467268623,0.35533000000000003,0.2590535440180587,0.24563000000000001,92807.00726494355,89796.30651000001,79123.22121896163,75236.0,66869.29405618507,103187.5099278732,103865.108365,95396.1334841629,92353.0,59243.95765282805,2190.13446444954,2073.2775549999997,2140.9266055045873,1976.5,750.539087133028,878.3619352283099,844.8797850000001,859.8150684931506,814.5,282.86881429223746,0.035461731207289314,0.025,0.03987173120728928,0.03165,0.14576615034168555,0.14916,0.6861033712984059,0.69658,0.37311578587699323,0.33316999999999997,0.30062785876993203,0.24629,0.3939042596810935,0.37646999999999997,0.8951229504504504,0.9293,0.8921987162162165,0.925165,0.8994522347629792,0.93263,39.19659698198198,39.95769,39.766704121621586,41.5,21.713927882882892,41.47844304740408,41.986999999999995,42.20823945823929,43.75,22.398135598194123,0.5130133783783783,0.537785,0.011154346846846845,0.00554,0.09181815315315316,0.08685999999999999,0.228,0.27399999999999997,58.24,1672
Delaware,38.4689052,39.832215600000005,-75.78211740000002,-75.06715129999999,488669,236762,251907,1103.4881029629628,1063.867135,1056.8703703703704,1021.0,401.501442037037,0.9532634259259258,0.972215,0.7349725000000004,0.765065,0.4955999074074073,0.492845,0.33905055555555585,0.33947,0.23774925925925924,0.23326000000000002,74435.83225157407,70018.84655,60351.194444444445,56832.0,57448.35886879631,84135.13122185183,78407.11454499999,74090.8425925926,67453.0,53170.56150212963,1575.0325949074074,1520.619995,1503.537037037037,1465.0,605.4619105555553,485.21784074074054,453.01487,448.287037037037,418.0,212.36113861111116,0.031132592592592594,0.023625,0.03620500000000001,0.027215000000000003,0.12482296296296297,0.12198499999999998,0.6800962037037038,0.679295,0.39579194444444454,0.37349,0.36610564814814806,0.346005,0.416357962962963,0.41790000000000005,0.876217685185185,0.8874599999999999,0.8647144444444443,0.8834299999999999,0.8891275925925927,0.89038,39.66645370370371,39.153715,39.318672870370364,38.04167,21.747506296296297,41.55436,40.809645,41.65046277777779,41.75,22.660192870370363,0.4937699074074074,0.5173099999999999,0.018488055555555556,0.013665,0.10396685185185187,0.10241499999999999,0.19,0.335,51.67,499
Florida,24.5479066,30.9674914,-87.49781309999999,-80.0371619,10609057,5193417,5415640,1143.9508129808974,1070.43087,1085.1888049755664,1011.0,406.85254277654326,0.9716691337183477,0.9965,0.7999763882718811,0.82319,0.5629169346956912,0.57335,0.3964765659706806,0.39773000000000003,0.2886021368280766,0.28039000000000003,63868.7535194683,57788.9322,50368.25919361985,45428.0,52136.98939144437,72413.45385800439,65992.54131,61356.97871396896,54860.0,49254.00083432373,1574.0830137991086,1437.21692,1472.8870535714286,1331.5,649.7379505982138,522.8967177926717,468.94584,491.7462019660411,438.5,232.539944530831,0.023451664435519822,0.01702,0.02764337349397587,0.02109,0.09698758589915231,0.09182,0.5860094957608217,0.59827,0.4820005800981708,0.43331000000000003,0.4836728871039701,0.47876,0.5761815394912985,0.60334,0.8647268344370863,0.88661,0.8561756291390732,0.8811700000000001,0.8730306460176975,0.89371,41.80075617218544,39.97201,42.346468004414916,40.41667,21.58355301986755,43.72496117152968,42.272594999999995,44.635020667550826,43.25,22.077616480990272,0.5014115584988958,0.50845,0.022238825607064038,0.01665,0.11748340397351019,0.11299000000000001,0.205,0.307,51.01,13307
Georgia,30.7085,34.9603529,-85.4538293,-80.9006411,5412817,2641952,2770865,950.944477602997,901.69255,906.1788389513108,848.5,337.5445820131088,0.9638385018726602,0.98253,0.7466587359550568,0.764785,0.5102522378277152,0.52403,0.35946564606741566,0.36085,0.26339250936329595,0.26236000000000004,64097.46901293732,56536.052070000005,51065.27970065482,44196.0,51848.078638138424,72324.80133873234,64718.628370000006,61867.114553990614,54173.0,49239.229254197104,1428.0348117741942,1313.4714049999998,1326.9734345351044,1207.5,579.5150688235292,449.12235209125464,414.503335,416.44106463878325,383.0,195.46495361216725,0.031337589792060506,0.024024999999999998,0.035865368620037814,0.028805,0.10104320415879024,0.08938,0.6429364744801525,0.659135,0.4164254253308127,0.3588,0.4820004253308129,0.489925,0.4759356710775052,0.46629,0.8430489478584718,0.85286,0.8321141061452508,0.843925,0.8544689841565706,0.86354,36.753839813780225,36.71854999999999,36.379888361266275,36.25,21.092616945996244,38.8121585088537,38.91583,38.715827903075485,38.58333,21.705458900279663,0.5042013873370579,0.5311,0.02294780260707632,0.017185,0.10040328677839849,0.096675,0.203,0.325,55.15,7526
