state,AdultsAerobicallyActive150Minutes,AdultsAerobicallyActive300Minutes,AdultsMeetingAerobicMuscleStrengtheningGuidelines,AdultsMeetingMuscleStrengtheningGuidelines,AdultsWalkOrBikeToWork,AdultsWhoConsumeFruitMost1TimeDaily,AdultsWhoConsumeVegetablesMost1TimeDaily,AdultsWhoEngageInNoLeisureTimePhysicalActivity,AdultsWithAtLeastOneParkWithin12Mile,FarmersMarketsAcceptWICCoupons,SchoolsAllowedStudentsPurchaseSodaOrFruitDrinks,SchoolsAllowedStudentsPurchaseSportsDrinks,SchoolsThatOfferSelfServeSaladBar,YouthWithParksrecCenterssidewalksInNeighborhoods
Alabama,42.8,26.3,16.1,26.0,1.2,44.9,19.3,32.0,23.2,9.9,21.5,46.4,41.7,21.1
Alaska,58.3,37.6,24.2,34.7,8.8,36.9,19.0,20.6,63.0,38.5,12.0,20.4,26.1,35.6
Arizona,52.7,33.0,22.1,31.5,3.0,37.2,20.8,25.1,64.1,38.0,11.8,25.3,49.5,36.8
Arkansas,45.4,28.2,16.5,25.6,1.9,44.7,19.3,32.5,22.1,19.6,10.2,16.6,40.9,29.1
California,57.5,35.4,23.9,34.3,3.8,32.5,21.4,20.0,65.1,48.5,4.0,21.3,54.8,57.8
Connecticut,51.9,32.2,22.8,33.6,3.4,31.5,16.9,24.0,40.6,27.6,6.2,8.1,37.1,41.6
Delaware,46.3,28.5,19.0,28.6,2.5,35.4,17.2,31.0,52.8,16.2,8.5,29.7,12.8,32.6
Florida,49.5,32.1,20.5,30.0,2.2,34.4,19.4,29.2,39.1,8.5,18.9,40.2,16.4,45.4
Georgia,46.1,27.0,20.3,31.4,1.8,38.6,18.1,31.0,26.8,7.6,24.3,39.7,28.6,32.8
Hawaii,56.5,36.4,24.6,35.4,5.6,37.0,21.0,23.5,82.9,0.0,4.4,8.5,32.3,61.3
Idaho,54.8,35.7,23.3,32.5,4.0,35.4,15.9,24.2,52.0,1.6,39.3,48.4,56.4,32.1
Illinois,52.5,30.3,21.6,30.7,3.7,33.3,21.3,24.0,59.4,13.5,24.4,36.7,37.6,55.5
Indiana,46.4,28.2,17.1,27.2,2.6,40.7,19.2,29.8,26.2,40.6,29.4,43.7,44.8,29.4
Kansas,49.3,30.6,19.0,28.5,2.7,37.6,17.3,27.9,39.3,2.6,16.5,42.9,76.6,40.9
Kentucky,44.7,28.4,16.8,26.4,2.6,42.7,17.0,34.4,28.6,39.7,15.7,30.8,25.6,23.3
Louisiana,45.0,28.4,17.8,28.0,2.4,45.0,23.9,31.8,27.3,16.0,22.4,48.3,26.1,24.9
Maine,52.8,33.8,20.1,29.5,4.4,31.4,12.4,25.2,17.4,40.6,9.0,30.4,82.4,34.4
Maryland,50.6,29.0,21.6,31.9,2.7,34.3,18.3,25.6,64.3,67.9,16.5,34.6,27.8,49.0
Massachusetts,50.9,31.1,21.6,31.2,5.6,31.2,16.7,24.8,66.6,55.3,6.3,12.8,39.7,51.8
Michigan,49.5,31.1,19.1,29.9,2.7,36.4,18.5,27.2,40.8,46.0,22.4,34.4,54.1,40.1
Minnesota,51.1,31.2,20.8,31.4,3.6,32.3,18.0,24.6,62.0,19.8,19.3,45.5,73.4,48.6
Mississippi,44.7,26.8,16.6,25.9,1.7,46.3,21.4,33.2,22.2,15.7,14.5,36.7,15.5,17.5
Missouri,47.4,28.7,18.9,28.5,2.2,39.9,16.9,29.2,34.0,0.4,23.1,47.3,58.2,37.7
Montana,54.6,36.8,21.1,30.2,6.3,36.4,15.1,25.0,58.0,18.6,30.8,54.7,76.9,30.8
Nebraska,49.4,28.9,19.1,29.8,3.3,36.9,20.0,25.4,40.0,17.3,22.7,46.4,85.5,36.9
Nevada,47.0,29.3,19.5,31.3,2.6,37.6,22.1,28.0,64.6,7.5,14.7,60.9,23.3,47.7
New Hampshire,54.4,34.5,21.4,30.4,3.1,30.3,13.7,23.9,17.2,9.5,9.3,26.9,48.7,35.1
New Jersey,48.9,29.0,21.9,32.8,3.4,33.7,19.1,29.0,54.9,32.0,15.0,31.8,27.1,56.3
New Mexico,54.0,34.5,23.2,32.8,3.0,37.4,20.5,24.5,58.7,70.0,8.2,27.3,43.4,38.7
New York,49.3,29.1,19.8,29.9,7.0,33.5,20.3,27.2,57.1,57.2,13.6,42.2,57.9,47.8
North Carolina,49.2,29.1,18.8,29.4,2.0,37.4,15.6,25.6,23.3,15.4,17.3,27.6,13.3,25.7
North Dakota,45.7,26.2,17.1,30.2,4.3,36.8,19.8,27.6,37.7,0.0,21.4,47.2,91.2,39.0
Ohio,47.8,30.2,18.3,29.2,2.6,37.7,18.7,29.6,41.4,25.7,19.0,31.7,31.6,40.3
Oklahoma,42.5,24.8,15.9,25.5,2.0,45.8,17.1,32.4,28.9,11.3,23.5,38.8,63.6,19.2
Oregon,56.9,37.2,22.3,31.1,6.4,33.0,16.4,21.4,68.3,57.4,17.7,29.0,74.9,40.6
Pennsylvania,53.0,33.5,20.9,30.4,4.4,34.1,16.4,24.9,46.7,30.9,14.8,29.9,39.6,38.8
Rhode Island,50.6,30.8,18.9,28.8,4.1,33.7,17.9,26.3,52.4,75.0,8.6,15.9,58.8,48.0
South Carolina,48.6,30.9,18.8,27.4,2.6,40.6,18.0,28.4,16.9,21.6,22.0,51.2,24.9,24.8
South Dakota,50.8,30.2,18.6,28.3,4.5,36.9,16.9,24.9,36.2,0.0,18.8,47.5,85.3,38.4
Tennessee,47.0,29.7,16.9,26.6,1.5,38.9,15.8,30.6,25.0,3.9,25.3,33.4,32.3,27.5
Texas,41.9,24.7,17.0,29.2,1.9,39.4,21.9,32.1,36.1,9.8,17.1,35.5,21.9,37.5
Utah,54.0,33.1,23.0,33.3,3.4,32.1,17.3,21.1,74.9,2.3,28.9,39.0,46.7,55.4
Vermont,59.7,40.1,22.6,31.4,6.6,29.7,12.9,21.6,25.5,37.6,8.5,20.7,86.2,34.1
Virginia,50.9,30.9,21.8,32.5,2.7,36.6,15.8,25.9,36.6,1.6,32.2,36.2,24.0,41.1
Washington,57.9,37.2,23.5,32.6,4.4,32.1,16.8,19.2,62.4,65.3,24.3,37.5,65.8,41.9
West Virginia,48.1,31.5,15.1,22.6,2.9,44.9,18.3,31.6,14.4,35.5,2.9,8.2,82.1,24.7
Wisconsin,57.1,36.0,21.2,30.6,4.1,32.4,19.0,22.4,49.6,45.8,16.8,42.5,63.9,34.9
Wyoming,53.9,34.8,23.0,32.9,4.7,37.7,15.3,25.7,63.9,0.0,12.6,45.3,77.5,47.2
