"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"53915","2017","2017","2017","US","National","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.3","","","50.0","50.6","394,726","","","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"56647","2017","2017","2017","AL","Alabama","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","42.8","","","41.1","44.5","5,952","32.840571122","-86.631860762","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"46829","2017","2017","2017","AK","Alaska","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","58.3","","","55.2","61.3","2,868","64.845079957001","-147.722059036","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"56180","2017","2017","2017","AZ","Arizona","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","52.7","","","51.6","53.8","13,481","34.86597028","-111.763811277","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"50208","2017","2017","2017","AR","Arkansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","45.4","","","42.8","48.0","4,690","34.748650124","-92.274490743","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"51085","2017","2017","2017","CA","California","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","57.5","","","55.9","59.0","7,984","37.638640123","-120.999999538","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"44663","2017","2017","2017","CO","Colorado","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","58.7","","","57.3","60.0","8,375","38.843840757","-106.133610921","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"47356","2017","2017","2017","CT","Connecticut","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","51.9","","","50.5","53.3","9,257","41.56266102","-72.649840952","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"46582","2017","2017","2017","DE","Delaware","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","46.3","","","44.0","48.6","3,621","39.008830667","-75.577741168","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"50752","2017","2017","2017","DC","District of Columbia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","48.8","","","46.7","50.9","4,045","38.890371385","-77.031961127","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"49370","2017","2017","2017","FL","Florida","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.5","","","47.9","51.2","19,480","28.932040377","-81.928960539","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"57328","2017","2017","2017","GA","Georgia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","46.1","","","44.3","47.8","5,276","32.839681093","-83.627580346","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"54704","2017","2017","2017","HI","Hawaii","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","56.5","","","54.9","58.2","6,979","21.304850435","-157.857749403","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"45097","2017","2017","2017","ID","Idaho","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","54.8","","","52.8","56.9","4,418","43.682630005","-114.363730042","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"44328","2017","2017","2017","IL","Illinois","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","52.5","","","50.7","54.3","5,071","40.485010283","-88.997710178","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"54326","2017","2017","2017","IN","Indiana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","46.4","","","45.3","47.6","12,198","39.766910452","-86.149960194","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"50540","2017","2017","2017","IA","Iowa","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.2","","","48.8","51.6","6,901","42.469400913","-93.816490556","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
"55378","2017","2017","2017","KS","Kansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.3","","","48.4","50.2","19,029","38.3477403","-98.200781227","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"44700","2017","2017","2017","KY","Kentucky","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","44.7","","","42.9","46.5","7,659","37.645970271","-84.774971048","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"49608","2017","2017","2017","LA","Louisiana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","45.0","","","43.0","47.0","4,092","31.312660644","-92.445680071","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
