"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"50841","2017","2017","2017","US","National","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","30.5","","","30.2","30.8","403,374","","","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"49863","2017","2017","2017","AL","Alabama","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","26.0","","","24.4","27.6","6,099","32.840571122","-86.631860762","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"47091","2017","2017","2017","AK","Alaska","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","34.7","","","31.7","37.8","2,927","64.845079957001","-147.722059036","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"55143","2017","2017","2017","AZ","Arizona","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","31.5","","","30.4","32.5","13,764","34.86597028","-111.763811277","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"55264","2017","2017","2017","AR","Arkansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","25.6","","","23.2","28.1","4,766","34.748650124","-92.274490743","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"44869","2017","2017","2017","CA","California","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","34.3","","","32.8","35.8","8,021","37.638640123","-120.999999538","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"53501","2017","2017","2017","CO","Colorado","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","35.5","","","34.2","36.7","8,555","38.843840757","-106.133610921","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"53010","2017","2017","2017","CT","Connecticut","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","33.6","","","32.2","35.0","9,454","41.56266102","-72.649840952","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"51652","2017","2017","2017","DE","Delaware","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","28.6","","","26.7","30.7","3,723","39.008830667","-75.577741168","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"49546","2017","2017","2017","DC","District of Columbia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","30.3","","","28.4","32.3","4,218","38.890371385","-77.031961127","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"53280","2017","2017","2017","FL","Florida","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","30.0","","","28.5","31.5","19,793","28.932040377","-81.928960539","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"48908","2017","2017","2017","GA","Georgia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week †","","","VALUE","Value","31.4","","","29.8","33.1","5,377","32.839681093","-83.627580346","PA","PA1","Q046","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
