"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"4","2011","2015","2011–2015","US","National","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","3.4","","","3.4","3.4","","","","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"80","2011","2015","2011–2015","AL","Alabama","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","1.2","","","1.2","1.3","","32.840571122","-86.631860762","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"20","2011","2015","2011–2015","AK","Alaska","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","8.8","","","8.4","9.1","","64.845079957001","-147.722059036","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"5","2011","2015","2011–2015","AZ","Arizona","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","3.0","","","2.9","3.1","","34.86597028","-111.763811277","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"71","2011","2015","2011–2015","AR","Arkansas","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","1.9","","","1.8","2.0","","34.748650124","-92.274490743","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"34","2011","2015","2011–2015","CA","California","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","3.8","","","3.8","3.9","","37.638640123","-120.999999538","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"18","2011","2015","2011–2015","CO","Colorado","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","4.3","","","4.2","4.4","","38.843840757","-106.133610921","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"22","2011","2015","2011–2015","CT","Connecticut","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","3.4","","","3.2","3.5","","41.56266102","-72.649840952","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"16","2011","2015","2011–2015","DE","Delaware","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.5","","","2.3","2.7","","39.008830667","-75.577741168","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"9","2011","2015","2011–2015","DC","District of Columbia","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","16.9","","","16.3","17.5","","38.890371385","-77.031961127","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"98","2011","2015","2011–2015","FL","Florida","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.2","","","2.1","2.2","","28.932040377","-81.928960539","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"46","2011","2015","2011–2015","GA","Georgia","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","1.8","","","1.7","1.9","","32.839681093","-83.627580346","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"52","2011","2015","2011–2015","HI","Hawaii","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","5.6","","","5.4","5.8","","21.304850435","-157.857749403","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"77","2011","2015","2011–2015","ID","Idaho","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","4.0","","","3.7","4.2","","43.682630005","-114.363730042","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"69","2011","2015","2011–2015","IL","Illinois","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","3.7","","","3.6","3.8","","40.485010283","-88.997710178","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"33","2011","2015","2011–2015","IN","Indiana","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.6","","","2.5","2.7","","39.766910452","-86.149960194","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"74","2011","2015","2011–2015","IA","Iowa","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","4.1","","","3.9","4.2","","42.469400913","-93.816490556","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
"104","2011","2015","2011–2015","KS","Kansas","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.7","","","2.6","2.8","","38.3477403","-98.200781227","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"25","2011","2015","2011–2015","KY","Kentucky","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.6","","","2.5","2.7","","37.645970271","-84.774971048","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"99","2011","2015","2011–2015","LA","Louisiana","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.4","","","2.3","2.5","","31.312660644","-92.445680071","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"32","2011","2015","2011–2015","ME","Maine","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","4.4","","","4.2","4.6","","45.254228894001","-68.985031336","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
"78","2011","2015","2011–2015","MD","Maryland","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.7","","","2.6","2.8","","39.290580964","-76.609260111","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"72","2011","2015","2011–2015","MA","Massachusetts","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","5.6","","","5.5","5.7","","42.27687047","-72.082690675","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
"59","2011","2015","2011–2015","MI","Michigan","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","2.7","","","2.6","2.7","","44.661319543001","-84.71439027","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","26","","","",""
"6","2011","2015","2011–2015","MN","Minnesota","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","3.6","","","3.6","3.7","","46.355648736","-94.794200503","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","27","","","",""
"38","2011","2015","2011–2015","MS","Mississippi","ACS","Physical Activity","Physical Activity - Behavior","Percent of adults in the state who usually biked or walked to work in the last week †","","","VALUE","Value","1.7","","","1.6","1.8","","32.745510099","-89.538030825","PA","PA1","Q042","","Total","OVR","Total","OVERALL","","","","","","","","","28","","","",""
