"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"54168","2017","2017","2017","US","National","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","36.0","","","35.7","36.4","405,047","","","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"45291","2017","2017","2017","AL","Alabama","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","44.9","","","43.1","46.6","6,140","32.840571122","-86.631860762","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"45149","2017","2017","2017","AK","Alaska","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","36.9","","","34.0","39.9","2,959","64.845079957001","-147.722059036","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"48609","2017","2017","2017","AZ","Arizona","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","37.2","","","36.1","38.3","13,888","34.86597028","-111.763811277","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"48983","2017","2017","2017","AR","Arkansas","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","44.7","","","42.1","47.3","4,731","34.748650124","-92.274490743","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"44924","2017","2017","2017","CA","California","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","32.5","","","31.1","33.9","8,331","37.638640123","-120.999999538","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"51922","2017","2017","2017","CO","Colorado","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","33.0","","","31.8","34.3","8,544","38.843840757","-106.133610921","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"57211","2017","2017","2017","CT","Connecticut","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","31.5","","","30.1","32.8","9,504","41.56266102","-72.649840952","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"54335","2017","2017","2017","DE","Delaware","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","35.4","","","33.2","37.6","3,687","39.008830667","-75.577741168","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"58483","2017","2017","2017","DC","District of Columbia","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming fruit less than one time daily †","","","VALUE","Value","30.6","","","28.7","32.7","4,064","38.890371385","-77.031961127","FV","FV1","Q018","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
