"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"57998","2017","2017","2017","US","National","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","19.0","","","18.7","19.3","396,800","","","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"45048","2017","2017","2017","AL","Alabama","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","19.3","","","17.9","20.7","6,046","32.840571122","-86.631860762","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"45087","2017","2017","2017","AK","Alaska","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","19.0","","","16.5","21.8","2,905","64.845079957001","-147.722059036","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"55282","2017","2017","2017","AZ","Arizona","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","20.8","","","19.8","21.8","13,519","34.86597028","-111.763811277","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"52071","2017","2017","2017","AR","Arkansas","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","19.3","","","17.2","21.7","4,584","34.748650124","-92.274490743","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"56785","2017","2017","2017","CA","California","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","21.4","","","20.2","22.7","8,151","37.638640123","-120.999999538","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"51180","2017","2017","2017","CO","Colorado","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","17.4","","","16.4","18.5","8,350","38.843840757","-106.133610921","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"50782","2017","2017","2017","CT","Connecticut","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","16.9","","","15.7","18.1","9,293","41.56266102","-72.649840952","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"49706","2017","2017","2017","DE","Delaware","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","17.2","","","15.5","19.1","3,586","39.008830667","-75.577741168","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"45933","2017","2017","2017","DC","District of Columbia","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","13.7","","","12.4","15.2","3,902","38.890371385","-77.031961127","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"56078","2017","2017","2017","FL","Florida","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","19.4","","","18.0","20.8","19,317","28.932040377","-81.928960539","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"51267","2017","2017","2017","GA","Georgia","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","18.1","","","16.8","19.5","5,211","32.839681093","-83.627580346","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"48746","2017","2017","2017","HI","Hawaii","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","21.0","","","19.7","22.5","7,137","21.304850435","-157.857749403","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"53281","2017","2017","2017","ID","Idaho","BRFSS","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of adults who report consuming vegetables less than one time daily †","","","VALUE","Value","15.9","","","14.4","17.5","4,524","43.682630005","-114.363730042","FV","FV1","Q019","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
