"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"56010","2017","2017","2017","US","National","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","26.6","","","26.3","26.9","410,595","","","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"46200","2017","2017","2017","AL","Alabama","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","32.0","","","30.5","33.6","6,230","32.840571122","-86.631860762","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"51474","2017","2017","2017","AK","Alaska","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","20.6","","","18.4","23.1","2,996","64.845079957001","-147.722059036","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"45202","2017","2017","2017","AZ","Arizona","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.1","","","24.1","26.0","14,044","34.86597028","-111.763811277","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"51146","2017","2017","2017","AR","Arkansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","32.5","","","30.2","35.0","4,879","34.748650124","-92.274490743","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"44473","2017","2017","2017","CA","California","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","20.0","","","18.8","21.2","8,226","37.638640123","-120.999999538","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"55184","2017","2017","2017","CO","Colorado","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","19.5","","","18.4","20.5","8,671","38.843840757","-106.133610921","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"53163","2017","2017","2017","CT","Connecticut","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","24.0","","","22.8","25.3","9,641","41.56266102","-72.649840952","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"47961","2017","2017","2017","DE","Delaware","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","31.0","","","28.9","33.1","3,803","39.008830667","-75.577741168","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"48987","2017","2017","2017","DC","District of Columbia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","23.0","","","21.3","24.7","4,318","38.890371385","-77.031961127","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"52695","2017","2017","2017","FL","Florida","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","29.2","","","27.7","30.6","20,265","28.932040377","-81.928960539","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"51872","2017","2017","2017","GA","Georgia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","31.0","","","29.5","32.6","5,498","32.839681093","-83.627580346","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"52209","2017","2017","2017","HI","Hawaii","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","23.5","","","22.1","25.0","7,170","21.304850435","-157.857749403","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"57252","2017","2017","2017","ID","Idaho","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","24.2","","","22.6","25.9","4,584","43.682630005","-114.363730042","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"55609","2017","2017","2017","IL","Illinois","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","24.0","","","22.6","25.6","5,155","40.485010283","-88.997710178","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"52691","2017","2017","2017","IN","Indiana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","29.8","","","28.7","30.9","12,708","39.766910452","-86.149960194","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"47022","2017","2017","2017","IA","Iowa","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.0","","","23.8","26.2","7,145","42.469400913","-93.816490556","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
"56047","2017","2017","2017","KS","Kansas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","27.9","","","27.1","28.7","19,909","38.3477403","-98.200781227","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"54644","2017","2017","2017","KY","Kentucky","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","34.4","","","32.7","36.1","8,048","37.645970271","-84.774971048","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"57590","2017","2017","2017","LA","Louisiana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","31.8","","","30.0","33.7","4,276","31.312660644","-92.445680071","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"57916","2017","2017","2017","ME","Maine","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.2","","","23.8","26.6","9,108","45.254228894001","-68.985031336","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
"56285","2017","2017","2017","MD","Maryland","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.6","","","24.4","26.9","12,303","39.290580964","-76.609260111","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"48267","2017","2017","2017","MA","Massachusetts","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","24.8","","","23.1","26.6","6,461","42.27687047","-72.082690675","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
"51646","2017","2017","2017","MI","Michigan","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","27.2","","","26.1","28.3","10,292","44.661319543001","-84.71439027","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","26","","","",""
"52395","2017","2017","2017","MN","Minnesota","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","24.6","","","23.8","25.5","15,902","46.355648736","-94.794200503","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","27","","","",""
"51171","2017","2017","2017","MS","Mississippi","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","33.2","","","31.1","35.2","4,566","32.745510099","-89.538030825","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","28","","","",""
"56891","2017","2017","2017","MO","Missouri","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","29.2","","","27.7","30.7","7,221","38.635790776","-92.566300053","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","29","","","",""
"47457","2017","2017","2017","MT","Montana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.0","","","23.5","26.5","5,671","47.066528972","-109.424420645","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","30","","","",""
"55553","2017","2017","2017","NE","Nebraska","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.4","","","24.3","26.5","14,296","41.641040988001","-99.365720623","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","31","","","",""
"45676","2017","2017","2017","NV","Nevada","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","28.0","","","25.8","30.4","3,570","39.49324039","-117.071840564","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","32","","","",""
"44301","2017","2017","2017","NH","New Hampshire","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","23.9","","","22.2","25.6","5,288","43.655950113","-71.50036092","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","33","","","",""
"45026","2017","2017","2017","NJ","New Jersey","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","29.0","","","27.6","30.5","10,833","40.130570048","-74.273691288","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","34","","","",""
"51907","2017","2017","2017","NM","New Mexico","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","24.5","","","23.0","26.1","5,964","34.520880952","-106.240580985","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","35","","","",""
"50767","2017","2017","2017","NY","New York","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","27.2","","","26.0","28.4","10,983","42.827001032","-75.543970427","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","36","","","",""
"52218","2017","2017","2017","NC","North Carolina","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","25.6","","","24.0","27.3","4,611","35.466220975","-79.159250463","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","37","","","",""
"45386","2017","2017","2017","ND","North Dakota","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","27.6","","","26.2","29.1","6,564","47.475319779","-100.118421049","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","38","","","",""
"47769","2017","2017","2017","OH","Ohio","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who engage in no leisure-time physical activity †","","","VALUE","Value","29.6","","","28.4","30.9","11,517","40.060210141","-82.404260056","PA","PA1","Q047","","Total","OVR","Total","OVERALL","","","","","","","","","39","","","",""
