"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"77139","2015","2015","2015","US","National","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","46.4","","","","","","","","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"76621","2015","2015","2015","AL","Alabama","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","23.2","","","","","","32.840571122","-86.631860762","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"76609","2015","2015","2015","AK","Alaska","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","63.0","","","","","","64.845079957001","-147.722059036","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"76645","2015","2015","2015","AZ","Arizona","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","64.1","","","","","","34.86597028","-111.763811277","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"76633","2015","2015","2015","AR","Arkansas","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","22.1","","","","","","34.748650124","-92.274490743","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"76657","2015","2015","2015","CA","California","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","65.1","","","","","","37.638640123","-120.999999538","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"76669","2015","2015","2015","CO","Colorado","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","73.8","","","","","","38.843840757","-106.133610921","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"76681","2015","2015","2015","CT","Connecticut","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","40.6","","","","","","41.56266102","-72.649840952","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"76705","2015","2015","2015","DE","Delaware","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","52.8","","","","","","39.008830667","-75.577741168","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"76693","2015","2015","2015","DC","District of Columbia","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","95.7","","","","","","38.890371385","-77.031961127","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"76717","2015","2015","2015","FL","Florida","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","39.1","","","","","","28.932040377","-81.928960539","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"76729","2015","2015","2015","GA","Georgia","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","26.8","","","","","","32.839681093","-83.627580346","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"76741","2015","2015","2015","HI","Hawaii","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","82.9","","","","","","21.304850435","-157.857749403","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"76765","2015","2015","2015","ID","Idaho","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","52.0","","","","","","43.682630005","-114.363730042","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"76777","2015","2015","2015","IL","Illinois","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","59.4","","","","","","40.485010283","-88.997710178","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"76789","2015","2015","2015","IN","Indiana","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","26.2","","","","","","39.766910452","-86.149960194","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"76753","2015","2015","2015","IA","Iowa","NEPHTN","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of U.S. population living within 1/2 mile of a park †","","","VALUE","Value","32.6","","","","","","42.469400913","-93.816490556","PA","PA2","Q050","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
