"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"78498","2017","2017","2017","US","National","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","30.8","","","","","","","","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"78023","2017","2017","2017","AL","Alabama","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","9.9","","","","","","32.840571122","-86.631860762","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"78012","2017","2017","2017","AK","Alaska","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","38.5","","","","","","64.845079957001","-147.722059036","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"78045","2017","2017","2017","AZ","Arizona","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","38.0","","","","","","34.86597028","-111.763811277","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"78034","2017","2017","2017","AR","Arkansas","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","19.6","","","","","","34.748650124","-92.274490743","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"78056","2017","2017","2017","CA","California","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","48.5","","","","","","37.638640123","-120.999999538","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"78067","2017","2017","2017","CO","Colorado","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","5.1","","","","","","38.843840757","-106.133610921","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"78078","2017","2017","2017","CT","Connecticut","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","27.6","","","","","","41.56266102","-72.649840952","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"78100","2017","2017","2017","DE","Delaware","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","16.2","","","","","","39.008830667","-75.577741168","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"78089","2017","2017","2017","DC","District of Columbia","FVSS","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons †","","","VALUE","Value","83.3","","","","","","38.890371385","-77.031961127","FV","FV2","Q030","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
