"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"77251","2016","2016","2016","AL","Alabama","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","21.5","","","~","","","32.840571122","-86.631860762","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"77236","2016","2016","2016","AK","Alaska","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","12.0","","","~","","","64.845079957001","-147.722059036","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"77281","2016","2016","2016","AZ","Arizona","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","11.8","","","~","","","34.86597028","-111.763811277","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"77266","2016","2016","2016","AR","Arkansas","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","10.2","","","~","","","34.748650124","-92.274490743","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"77296","2016","2016","2016","CA","California","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","4.0","","","~","","","37.638640123","-120.999999538","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"77323","2016","2016","2016","CT","Connecticut","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","6.2","","","~","","","41.56266102","-72.649840952","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"77351","2016","2016","2016","DE","Delaware","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","8.5","","","~","","","39.008830667","-75.577741168","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"77366","2016","2016","2016","FL","Florida","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","18.9","","","~","","","28.932040377","-81.928960539","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"77381","2016","2016","2016","GA","Georgia","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","24.3","","","~","","","32.839681093","-83.627580346","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"77399","2016","2016","2016","HI","Hawaii","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","4.4","","","~","","","21.304850435","-157.857749403","SD","SD2","Q062","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
