"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"77252","2016","2016","2016","AL","Alabama","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","46.4","","","~","","","32.840571122","-86.631860762","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"77237","2016","2016","2016","AK","Alaska","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","20.4","","","~","","","64.845079957001","-147.722059036","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"77282","2016","2016","2016","AZ","Arizona","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","25.3","","","~","","","34.86597028","-111.763811277","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"77267","2016","2016","2016","AR","Arkansas","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","16.6","","","~","","","34.748650124","-92.274490743","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"77297","2016","2016","2016","CA","California","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","21.3","","","~","","","37.638640123","-120.999999538","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"77324","2016","2016","2016","CT","Connecticut","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","8.1","","","~","","","41.56266102","-72.649840952","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"77352","2016","2016","2016","DE","Delaware","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","29.7","","","~","","","39.008830667","-75.577741168","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"77367","2016","2016","2016","FL","Florida","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","40.2","","","~","","","28.932040377","-81.928960539","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"77382","2016","2016","2016","GA","Georgia","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","39.7","","","~","","","32.839681093","-83.627580346","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"77400","2016","2016","2016","HI","Hawaii","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","8.5","","","~","","","21.304850435","-157.857749403","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"77427","2016","2016","2016","ID","Idaho","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","48.4","","","~","","","43.682630005","-114.363730042","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"77442","2016","2016","2016","IL","Illinois","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","36.7","","","~","","","40.485010283","-88.997710178","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"77457","2016","2016","2016","IN","Indiana","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","43.7","","","~","","","39.766910452","-86.149960194","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"77472","2016","2016","2016","KS","Kansas","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","42.9","","","~","","","38.3477403","-98.200781227","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"77487","2016","2016","2016","KY","Kentucky","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","30.8","","","~","","","37.645970271","-84.774971048","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"77502","2016","2016","2016","LA","Louisiana","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","48.3","","","~","","","31.312660644","-92.445680071","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"77547","2016","2016","2016","ME","Maine","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","30.4","","","~","","","45.254228894001","-68.985031336","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
"77532","2016","2016","2016","MD","Maryland","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","34.6","","","~","","","39.290580964","-76.609260111","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"77517","2016","2016","2016","MA","Massachusetts","SHP","Sugar Drinks","Sugar Drinks - Environmental or Policy Supports","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar †","","","VALUE","Value","12.8","","","~","","","42.27687047","-72.082690675","SD","SD2","Q063","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
