"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"77250","2016","2016","2016","AL","Alabama","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","41.7","","","","","","32.840571122","-86.631860762","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"77235","2016","2016","2016","AK","Alaska","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","26.1","","","","","","64.845079957001","-147.722059036","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"77280","2016","2016","2016","AZ","Arizona","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","49.5","","","","","","34.86597028","-111.763811277","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"77265","2016","2016","2016","AR","Arkansas","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","40.9","","","","","","34.748650124","-92.274490743","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"77295","2016","2016","2016","CA","California","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","54.8","","","","","","37.638640123","-120.999999538","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"77322","2016","2016","2016","CT","Connecticut","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","37.1","","","","","","41.56266102","-72.649840952","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"77350","2016","2016","2016","DE","Delaware","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","12.8","","","","","","39.008830667","-75.577741168","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"77337","2016","2016","2016","DC","District of Columbia","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","46.4","","","","","","38.890371385","-77.031961127","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"77365","2016","2016","2016","FL","Florida","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","16.4","","","","","","28.932040377","-81.928960539","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"77380","2016","2016","2016","GA","Georgia","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","28.6","","","","","","32.839681093","-83.627580346","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"77398","2016","2016","2016","HI","Hawaii","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","32.3","","","","","","21.304850435","-157.857749403","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"77425","2016","2016","2016","ID","Idaho","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","56.4","","","","","","43.682630005","-114.363730042","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"77440","2016","2016","2016","IL","Illinois","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","37.6","","","","","","40.485010283","-88.997710178","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"77455","2016","2016","2016","IN","Indiana","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","44.8","","","","","","39.766910452","-86.149960194","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"77470","2016","2016","2016","KS","Kansas","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","76.6","","","","","","38.3477403","-98.200781227","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"77485","2016","2016","2016","KY","Kentucky","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","25.6","","","","","","37.645970271","-84.774971048","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"77500","2016","2016","2016","LA","Louisiana","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","26.1","","","","","","31.312660644","-92.445680071","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"77545","2016","2016","2016","ME","Maine","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","82.4","","","","","","45.254228894001","-68.985031336","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
"77530","2016","2016","2016","MD","Maryland","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","27.8","","","","","","39.290580964","-76.609260111","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"77515","2016","2016","2016","MA","Massachusetts","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","39.7","","","","","","42.27687047","-72.082690675","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
"77560","2016","2016","2016","MI","Michigan","SHP","Fruits and Vegetables","Fruits and Vegetables - Environmental or Policy Supports","Percent of secondary schools that offered a self-serve salad bar to students †","","","VALUE","Value","54.1","","","","","","44.661319543001","-84.71439027","FV","FV2","Q061","","Total","OVR","Total","OVERALL","","","","","","","","","26","","","",""
