"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"77897","2016","2017","2016–2017","US","National","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","41.9","","","","","","","","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"77253","2016","2017","2016–2017","AL","Alabama","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","21.1","","","","","","32.84057112200048","-86.63186076199969","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"77238","2016","2017","2016–2017","AK","Alaska","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","35.6","","","","","","64.84507995700051","-147.72205903599973","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"77283","2016","2017","2016–2017","AZ","Arizona","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","36.8","","","","","","34.865970280000454","-111.76381127699972","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"77268","2016","2017","2016–2017","AR","Arkansas","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","29.1","","","","","","34.74865012400045","-92.27449074299966","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"77298","2016","2017","2016–2017","CA","California","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","57.8","","","","","","37.63864012300047","-120.99999953799971","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"77310","2016","2017","2016–2017","CO","Colorado","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","62.6","","","","","","38.843840757000464","-106.13361092099967","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"77325","2016","2017","2016–2017","CT","Connecticut","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","41.6","","","","","","41.56266102000046","-72.64984095199964","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"77353","2016","2017","2016–2017","DE","Delaware","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","32.6","","","","","","39.008830667000495","-75.57774116799965","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"77338","2016","2017","2016–2017","DC","District of Columbia","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","79.7","","","","","","38.89037138500049","-77.03196112699965","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"77368","2016","2017","2016–2017","FL","Florida","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","45.4","","","","","","28.932040377000476","-81.92896053899966","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"77383","2016","2017","2016–2017","GA","Georgia","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","32.8","","","","","","32.83968109300048","-83.62758034599966","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"77401","2016","2017","2016–2017","HI","Hawaii","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","61.3","","","","","","21.304850435000446","-157.85774940299973","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"77428","2016","2017","2016–2017","ID","Idaho","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","32.1","","","","","","43.682630005000476","-114.3637300419997","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"77443","2016","2017","2016–2017","IL","Illinois","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","55.5","","","","","","40.48501028300046","-88.99771017799969","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"77458","2016","2017","2016–2017","IN","Indiana","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","29.4","","","","","","39.766910452000445","-86.14996019399968","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"77413","2016","2017","2016–2017","IA","Iowa","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","38.3","","","","","","42.46940091300047","-93.81649055599968","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
"77473","2016","2017","2016–2017","KS","Kansas","NSCH","Physical Activity","Physical Activity - Environmental or Policy Supports","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood †","","","VALUE","Value","40.9","","","","","","38.34774030000045","-98.20078122699965","PA","PA2","Q051","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
