state,obesity_percentage,obesity_age_18 - 24,obesity_age_25 - 34,obesity_age_35 - 44,obesity_age_45 - 54,obesity_age_55 - 64,obesity_age_65 or older,obesity_edu_College graduate,obesity_edu_High school graduate,obesity_edu_Less than high school,obesity_edu_Some college or technical school,obesity_gender_Female,obesity_gender_Male
National,30.9,18.1,29.5,34.5,36.9,35.1,28.9,24.7,33.1,35,33,31.3,30.6
Alabama,36.2,19.3,38.1,42,39.8,43.7,31.8,29.4,36.6,39.2,39.2,37.8,34.6
Alaska,29.5,21.2,29.3,29.8,34.2,33.4,27.2,24,30.7,30.7,31.8,28.5,29.9
Arizona,29.5,14.4,33,30.4,36.7,35.4,26.1,23.5,31.1,38.4,29.4,28,31
Arkansas,37.1,26.2,39.6,41.2,45.7,40.3,30.1,34.1,36.2,36.4,40.5,39.4,34.9
California,25.8,15.2,25.4,27.2,30.6,30.1,24.2,18.1,27.6,34.4,27.6,25.6,26
Colorado,23,12,22,23.7,29.2,26.8,21.8,17.7,25.7,29.4,25.5,24.2,21.8
Connecticut,27.4,12.4,27.1,30.4,33.5,31.2,26.3,22.9,30.5,31.2,28.6,26.4,28.4
Delaware,33.5,18.4,30.2,37.9,39.7,38.3,32.5,27.6,34.2,42.1,35.8,33.5,33.6
District of Columbia,24.7,17.5,19,27.1,32.9,30.3,25.2,16.4,35.8,39.5,30.3,28,21.2
Florida,30.7,16.6,30.3,33.9,39.4,33.2,27.8,25.9,31.9,37.2,31,30.2,31.1
Georgia,32.5,19.8,32.7,34.9,38.7,36.5,29.6,26.2,35,36.9,33.9,33.3,31.6
Hawaii,24.9,20.6,25.9,30.3,31.1,26.5,17.4,19.1,31.1,28,24,23,26.8
Idaho,28.4,10.7,27.8,31,36.4,31.8,29,23.1,24.8,32.7,33.3,27.1,29.7
Illinois,31.8,16.8,27.4,37.6,35.7,36.3,32.5,25.1,32.9,36.7,35.7,33.2,30.1
Indiana,34.1,22.6,31.8,38,40.6,37.6,32.6,30.2,36.6,34.6,34.2,34.2,33.9
Iowa,35.3,20.9,34.6,40.6,41.4,39.3,34,29.2,38,38.4,36.8,34.6,36
Kansas,34.4,21.8,32.9,39.8,40.7,39.5,31,28.9,37.3,32.4,37.4,35.6,33.3
Kentucky,36.6,18.5,37,43.1,45.4,42.4,30.8,34.3,37.7,37.8,36.6,36.8,36.4
Louisiana,36.8,27.9,33.9,40.6,45.8,40.2,31.8,29.6,40.4,36,38.2,39.5,34.1
Maine,30.4,20.5,27.7,36.1,38.6,30.5,27.2,23.5,33.2,34.6,32.6,29.2,31.5
Maryland,30.9,18.1,27.4,36.9,36.9,35.4,27.9,25.7,31.7,35.1,35.6,33.1,28.6
Massachusetts,25.7,13,25.7,27.5,29.4,29.7,25.9,20.9,29.4,29,28.1,24.3,27
Michigan,33,18.9,31.4,35.7,38.9,37.7,32.3,26.7,34.3,34.9,36,34.6,31.4
Minnesota,30.1,19,26.9,32.5,35.7,33.4,30,24.3,32.8,33.4,32.7,27.5,32.4
Mississippi,39.5,29.5,38.5,45.4,46.3,44.2,32.8,35.9,41.1,38.4,40.8,42.6,36.1
Missouri,35,20.6,35.1,41.9,41.7,37.8,31.3,29.3,34.3,37.9,39.2,35.7,34.4
Montana,26.9,11.6,28.9,29.2,31.7,33.6,24.1,25.8,26.4,25.8,28.5,25.8,27.8
Nebraska,34.1,20.3,32.1,35.7,41,41.9,32.4,29.5,36.1,39.5,35.1,33.8,34.5
Nevada,29.5,10.2,29.6,34.2,37.6,31.3,28.1,25.2,25.6,33.6,33.9,29.2,29.7
New Hampshire,29.6,19.4,24.7,39,34,29.9,28.3,22.3,33.9,42,30.5,28.1,31.1
New Jersey,25.7,12,21.8,31.7,26,31.8,25.8,20.1,31.1,26.6,27.8,25.5,25.8
New Mexico,32.3,25.8,35.5,36.4,39.7,33.8,24.9,25.7,34.3,39.1,32.5,33.5,31.2
New York,27.6,18,25.2,30.3,32.4,31,27,22.1,31.2,31.6,29,27.3,27.9
North Carolina,33,16.7,31.6,34.4,44.5,40.3,27.6,24.8,32.5,37.8,38.2,33.9,32.1
North Dakota,35.1,21.1,35.7,40.7,41.7,37.3,34.3,31.2,38.2,33.4,36.1,34.2,36
Ohio,34,20,31,38.8,38.9,39.2,32.7,29.4,36.7,32.2,35.5,34.3,33.8
Oklahoma,34.8,24.2,35.4,38.9,40.8,39.5,29.4,33,34.1,33.2,37.4,37,32.8
Oregon,29.9,14.9,29.5,30.5,37.7,35.8,27.9,24.5,31.3,35.5,31.7,30.8,29.2
Pennsylvania,30.9,16.1,27.6,36.3,40.3,34.7,28.3,26.3,32.3,26.9,35.6,30.8,30.9
